hip,hd,bf,proper,ra,dec,dist,mag,absmag,spect,x,y,z
87782,163245,,,17.931936,-18.802154,98.5222,6.48,1.512,A1V,-1.661809,-93.250002,-31.753844
88030,164429,,,17.981196,45.47622,130.5483,6.48,0.901,B9sp...,-0.450639,-91.539921,93.075528
91090,171505,,,18.579859,10.89201,186.2197,6.48,0.13,A1V,27.653604,-180.761606,35.187734
92456,174328,,,18.841992,-13.572262,413.2231,6.48,-1.601,K1II/III,87.828974,-391.964145,-96.971703
92866,175093,,,18.92321,-37.386603,133.3333,6.48,0.855,K1III,25.356905,-102.86152,-80.958655
93666,177336,,,19.073376,-5.684843,362.3188,6.48,-1.315,C5II,99.986153,-346.395474,-35.89007
95149,181321,,,19.358263,-34.983487,18.8324,6.48,5.105,G1/G2V,5.371773,-14.464361,-10.797322
96095,183577,,,19.537231,-44.546387,41.6146,6.48,3.384,F6V,11.616091,-27.28853,-29.19208
102276,197572,,,20.723387,35.587801,100000,6.48,-13.52,G8Ib,53192.33938,-61513.5665,58194.9842
104202,200964,,,21.111067,3.803119,72.2022,6.48,2.187,K0,52.401758,-49.439646,4.789043
105046,202554,,,21.277631,-1.607759,209.205,6.48,-0.123,K0,158.219845,-136.743052,-5.869661
107749,207673,,,21.827804,41.148787,100000,6.48,-13.52,A2Ib,63449.0242,-40550.73366,65801.66658
110907,213025,,,22.469758,27.018806,162.8664,6.48,0.421,G8III,133.602246,-56.583268,73.987251
113283,216803,,,22.940005,-31.565567,7.6092,6.48,7.073,K4Vp,6.235383,-1.77617,-3.98326
115036,219749,,,23.29889,45.488924,179.8561,6.48,0.205,B9p...,123.969602,-23.013606,128.258091
